ID;ID;;Name (English);Description (English);Name (Portuguese);Gender;Plural;Article
0503;~X~010503;9;Horse Hair;Horsehair, waste;Pelo de cavalo;m;0;1
0504;~X~010504;9;Animal Organs;guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked.;àrgÆos de animais;m;1;1
0505;~X~010505;9;Bird Feathers and Skins;"skins and other parts of birds, with their feathers or down, feathers and parts of feathers (whether or not with trimmed edges) and down, not further worked than cleaned, disinfected or treated for preservation; powder and waste of feathers or parts of fe";Penas e pele de p ssaros;f;1;1
0506;~X~010506;9;Processed Bones;"bones and horn-cores, unworked, defatted, simply prepared (but not cut to shape), treated with acid or degelatinised; powder and waste of these products.";Ossos processados;m;1;1
0507;~X~010507;9;Raw Bones;"ivory, tortoise-shell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks, unworked or simply prepared but not cut to shape; powder and waste of these products.";Ossos crus;m;1;1
0508;~X~010508;9;Coral and Shells;"coral and similar materials, unworked or simply prepared but not otherwise worked; shells of molluscs, crustaceans or echinoderms and cuttle-bone, unworked or simply prepared but not cut to shape, powder and waste thereof.";Corais e conchas;m;1;1
0509;~X~010509;9;Sponges;Sponges, natural, of animal origin;Esponjas;f;1;1
0510;~X~010510;9;Pharmaceutical Animal Products;"ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other animal products used in the preparation of pharmaceutical products, fresh, chilled, frozen or otherwise provisionally preserved.";Produtos farmacˆuticos de origem animal;m;1;1
0511;~X~010511;9;Other Inedible Animal Products;"animal products not elsewhere specified or included; dead animals of chapter 1 or 3, unfit for human consumption.";Outros produtos de origem animal nÆo comest¡veis;m;1;1
06;~X~02;5;Vegetable Products;Vegetable Products;Produtos de origem vegetal;m;1;1
0601;~X~0206;7;Live Plants;"live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage";Plantas vivas;f;1;1
0601;~X~020601;9;Bulbs and Roots;"bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower; chicory plants and roots other than roots of heading 12.12.";Bulbos e ra¡zes;m;1;1
0602;~X~020602;9;Other Live Plants;"other live plants (including their roots), cuttings and slips; mushroom spawn.";Outras plantas vivas;f;1;1
0603;~X~020603;9;Cut Flowers;cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared.;Flores cortadas;f;1;1
0604;~X~020604;9;Foliage;foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, being goods of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared.;Folhagens;f;1;1
0701;~X~0207;7;Vegetables;edible vegetables and certain roots and tubers;Vegetais;m;1;1
0701;~X~020701;9;Potatoes;potatoes, fresh or chilled.;Batatas;f;1;1
0702;~X~020702;9;Tomatoes;tomatoes, fresh or chilled.;Tomates;m;1;1
0703;~X~020703;9;Onions;onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled.;Cebolas;f;1;1
0704;~X~020704;9;Cabbages;cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled.;Couves e repolhos;m;1;1
0705;~X~020705;9;Lettuce;lettuce (lactuca sativa) and chicory (cichorium spp.), fresh or chilled.;Alface;f;0;1
0706;~X~020706;9;Root Vegetables;carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh or chilled.;Ra¡zes Vegetais;f;1;1
0707;~X~020707;9;Cucumbers;cucumbers and gherkins, fresh or chilled.;Pepinos;m;1;1
0708;~X~020708;9;Legumes;leguminous vegetables, shelled or unshelled, fresh or chilled.;Leguminosas;f;1;1
0709;~X~020709;9;Other Vegetables;other vegetables, fresh or chilled.;Outros vegetais;m;1;1
0710;~X~020710;9;Frozen Vegetables;vegetables (uncooked or cooked by steaming or boiling in water), frozen.;Vegetais congelados;m;1;1
0711;~X~020711;9;Preserved Vegetables;vegetables provisionally preserved (for example, by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption.;Vegetais em conserva;m;1;1
0712;~X~020712;9;Dried Vegetables;dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared.;Vegetais desidratados;m;1;1
0713;~X~020713;9;Dried Legumes;dried leguminous vegetables, shelled, whether or not skinned or split.;Legumes desidratados;m;1;1
0714;~X~020714;9;Cassava;"manioc, arrowroot, salep, jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith.";Mandioca;f;0;1
0801;~X~0208;7;Fruits and Nuts;"edible fruit and nuts; peel of citrus fruit or melons";Frutas;f;1;1
0801;~X~020801;9;Coconuts, Brazil Nuts, and Cashews;coconuts, brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled.;Coco, castanha e caju;m;0;1
0802;~X~020802;9;Other Nuts;other nuts, fresh or dried, whether or not shelled or peeled.;Outros frutos oleaginosos;f;1;1
0803;~X~020803;9;Bananas;bananas, including plantains, fresh or dried.;Bananas;f;1;1
0804;~X~020804;9;Tropical Fruits;dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried.;Frutas tropicais;f;1;1
0805;~X~020805;9;Citrus;citrus fruit, fresh or dried.;Frutas c¡tricas;f;1;1
0806;~X~020806;9;Grapes;grapes, fresh or dried.;Uvas;f;1;1
0807;~X~020807;9;Melons;melons (including watermelons) and papaws (papayas), fresh.;Meläes;m;1;1
0808;~X~020808;9;Apples;apples, pears and quinces, fresh.;Ma‡Æs;f;1;1
0809;~X~020809;9;Pitted Fruits;apricots, cherries, peaches (including nectarines), plums and sloes, fresh.;Frutas sem caro‡o;f;1;1
0810;~X~020810;9;Other Fresh Fruits;other fruit, fresh.;Outras frutas frescas;f;1;1
0811;~X~020811;9;Frozen Fruits and Nuts;fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter.;Frutas e nozes congeladas;f;1;1
0812;~X~020812;9;Preserved Fruits and Nuts;fruit and nuts, provisionally preserved (for example, by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption.;Frutas em conserva;f;1;1
0813;~X~020813;9;Dried Fruits;"fruit, dried, other than that of headings 08.01 to 08.06; mixtures of nuts or dried fruits of this chapter.";Frutas desidratadas;f;1;1
0814;~X~020814;9;Citrus and Melon Peels;peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.;Cascas de frutas c¡tricas e meläes;f;1;1
0901;~X~0209;7;Coffee, Tea, and Spices;coffee, tea, mat¶Ž and spices;Caf‚, ch  e especiarias;m;0;1
0901;~X~020901;9;Coffee;"coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion.";Caf‚;m;0;1
0902;~X~020902;9;Tea;tea, whether or not flavoured.;Ch ;m;0;1
0903;~X~020903;9;Mate;Mate;Erva-mate;m;0;1
0904;~X~020904;9;Pepper;"pepper of the genus piper; dried or crushed or ground fruits of the genus capsicum or of the genus pimenta.";Pimenta;f;0;1
0905;~X~020905;9;Vanilla;vanilla.;Baunilha;f;0;1
0906;~X~020906;9;Cinnamon;cinnamon and cinnamon-tree flowers.;Canela;f;0;1
0907;~X~020907;9;Cloves;cloves (whole fruit, cloves and stems).;Cravos;m;1;1
0908;~X~020908;9;Nutmeg;nutmeg, mace and cardamoms.;Noz-moscada;f;0;1
0909;~X~020909;9;Spice Seeds;"seeds of anise, badian, fennel, coriander, cumin or caraway; juniper berries.";Sementes de especiarias;f;1;1
0910;~X~020910;9;Ginger;ginger, saffron, turmeric (curcuma), thyme, bay leaves, curry and other spices.;Gengibre;m;0;1
1001;~X~0210;7;Cereals;cereals;Cereais;m;1;1
1001;~X~021001;9;Wheat;wheat and meslin.;Trigo;m;0;1
1002;~X~021002;9;Rye;rye.;Centeio;m;0;1
1003;~X~021003;9;Barley;barley.;Cevada;f;0;1
1004;~X~021004;9;Oats;oats.;Aveia;f;0;1
1005;~X~021005;9;Corn;maize (corn).;Milho;m;0;1
1006;~X~021006;9;Rice;rice.;Arroz;m;0;1
1007;~X~021007;9;Sorghum;grain sorghum.;Sorgo;m;0;1
1008;~X~021008;9;Buckwheat;"buckwheat, millet and canary seed; other cereals.";Trigo sarraceno;m;0;1
1101;~X~0211;7;Milled Products;"products of the milling industry; malt; starches; inulin; wheat gluten";Produtos de moagem;m;1;1
1101;~X~021101;9;Wheat Flours;wheat or meslin flour.;Farinhas de trigo;f;1;1
1102;~X~021102;9;Cereal Flours;cereal flours other than of wheat or meslin.;Farinhas de cereais;f;1;1
1103;~X~021103;9;Cereal Meal and Pellets;cereal groats, meal and pellets.;Refei‡äes e pelotas de cereais;f;1;1
1104;~X~021104;9;Processed Cereals;"cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 10.06; germ of cereals, whole, rolled, flaked or ground.";Cereais processados;m;1;1
1105;~X~021105;9;Potato Flours;flour, meal, powder, flakes, granules and pellets of potatoes.;Farinhas de batata;f;1;1
1106;~X~021106;9;Legume Flours;flour, meal and powder of the dried leguminous vegetables of heading 07.13, of sago or of roots or tubers of heading 07.14 or of the products of chapter 8.;Farinhas de legumes;f;1;1
1107;~X~021107;9;Malt;malt, whether or not roasted.;Malte;m;0;1
1108;~X~021108;9;Starches and Inulin;"starches; inulin.";Amidos ou f‚culas;m;1;1
1109;~X~021109;9;Wheat Gluten;wheat gluten, whether or not dried.;Gl£ten de trigo;m;0;1
1201;~X~0212;7;Oil Seeds;"oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder";Sementes oleaginosas;f;1;1
1201;~X~021201;9;Soybeans;soya beans, whether or not broken.;Soja;f;0;1
1202;~X~021202;9;Ground Nuts;ground-nuts, not roasted or otherwise cooked, whether or not shelled or broken.;Amendoim;m;0;1
1203;~X~021203;9;Copra;copra.;Copra;f;0;1
1204;~X~021204;9;Linseed;linseed, whether or not broken.;Linha‡a;f;0;1
1205;~X~021205;9;Rapeseed;rape or colza seeds, whether or not broken.;Canola;f;0;1
1206;~X~021206;9;Sunflower Seeds;sunflower seeds, whether or not broken.;Sementes de girassol;f;1;1
1207;~X~021207;9;Other Oily Seeds;other oil seeds and oleaginous fruits, whether or not broken.;Outras sementes oleaginosas;f;1;1
1208;~X~021208;9;Oil Seed Flower;flours and meals of oil seeds or oleaginous fruits, other than those of mustard.;Farinhas de sementes oleaginosas;f;1;1
1209;~X~021209;9;Sowing Seeds;seeds, fruit and spores, of a kind used for sowing.;Sementes para semeadura;f;1;1
1210;~X~021210;9;Hops;"hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin.";L£pulo;m;0;1
1211;~X~021211;9;Perfume Plants;plants and parts of plants (including seeds and fruits), of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh or dried, whether or not cut, crushed or powdered.;Plantas aromatizantes;f;1;1
1212;~X~021212;9;Locust Beans;"locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or dried, whether or not ground; fruit stones and kernels and other vegetable products (including unroasted chicory roots of the variety cichorium intybus sativum) o";Alfarroba;f;0;1
1213;~X~021213;9;Cereal Straws;cereal straw and husks, unprepared, whether or not chopped, ground, pressed or in the form of pellets.;Palhas de Cereais;f;1;1
1214;~X~021214;9;Forage Crops;swedes, mangolds, fodder roots, hay, lucerne (alfalfa), clover, sainfoin, forage kale, lupines, vetches and similar forage products, whether or not in the form of pellets.;Forrageiras;f;1;1
1301;~X~0213;7;Resins;"lac; gums, resins and other vegetable saps and extracts";Resinas;f;1;1
1301;~X~021301;9;Insect Resins;"lac; natural gums, resins, gum-resins and oleoresins (for example, balsams).";Resinas de insetos;f;1;1
1302;~X~021302;9;Vegetable Saps;"vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other mucilages and thickeners, whether or not modified, derived from vegetable products.";Sucos vegetais;m;1;1
1401;~X~0214;7;Vegetable Plaiting Materials;"vegetable plaiting materials; vegetable products not elsewhere specified or included";Materiais vegetais de cestaria;m;1;1
1401;~X~021401;9;Vegetable Plaiting Materials;vegetable materials of a kind used primarily for plaiting (for example, bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw, and lime bark).;Materiais vegetais de cestaria;m;1;1
1402;~X~021402;9;Vegetable Stuffing Materials;Kapok (ceiba pentandra);Materiais vegetais de enchimento;m;1;1
1403;~X~021403;9;Vegetable Brush Materials;Broom corn used in brooms or brushes;Materiais vegetais para vassouras ou escovas;m;1;1
1404;~X~021404;9;Other Vegetable Products;vegetable products not elsewhere specified or included.;Outros produtos vegetais;m;1;1
15;~X~03;5;Animal and Vegetable Bi-Products;"Animal Or Vegetable Fats And Oils And Their Cleavage Products; Prepared Edible Fats; Animal Or Vegetable Waxes";Derivados vegetais e animais;m;1;1
1501;~X~0315;7;Fats and Oils;"animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes";Gorduras e ¢leos;f;1;1
1501;~X~031501;9;Pig and Poultry Fat;pig fat (including lard) and poultry fat, other than that of heading 02.09 or 15.03.;Gordura de porco e aves;f;0;1
1502;~X~031502;9;Bovine, Sheep, and Goat Fat;fats of bovine animals, sheep or goats, other than those of heading 15.03.;Gordura bovina, ovina e caprina;f;0;1
1503;~X~031503;9;Lard;lard stearin, lard oil, oleostearin, oleo-oil and tallow oil, not emulsified or mixed or otherwise prepared.;Banha;f;0;1
1504;~X~031504;9;Fish Oil;fats and oils and their fractions, of fish or marine mammals, whether or not refined, but not chemically modified.;àleo de peixe;m;0;1
1505;~X~031505;9;Wool Grease;wool grease and fatty substances derived therefrom (including lanolin).;Gordura da lÆ;f;0;1
1506;~X~031506;9;Other Animal Fats;other animal fats and oils and their fractions, whether or not refined, but not chemically modified.;Outras gorduras animais;f;1;1
1507;~X~031507;9;Soybean Oil;soya-bean oil and its fractions, whether or not refined, but not chemically modified.;àleo de soja;m;0;1
1508;~X~031508;9;Ground Nut Oil;ground-nut oil and its fractions, whether or not refined, but not chemically modified.;àleo de amendoim;m;0;1
1509;~X~031509;9;Pure Olive Oil;olive oil and its fractions, whether or not refined, but not chemically modified.;àleo de oliva virgem;m;0;1
1510;~X~031510;9;Olive Oil;other oils and their fractions, obtained solely from olives, whether or not refined, but not chemically modified, including blends of these oils or fractions with oils or fractions of heading 15.09.;àleo de oliva;m;0;1
1511;~X~031511;9;Palm Oil;palm oil and its fractions, whether or not refined, but not chemically modified.;àleo de palma;m;0;1
1512;~X~031512;9;Seed Oils;sunflower-seed, safflower or cotton-seed oil and fractions thereof, whether or not refined, but not chemically modified.;àleos de sementes;m;1;1
1513;~X~031513;9;Coconut Oil;coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified.;àleo de coco;m;0;1
1514;~X~031514;9;Rapeseed Oil;rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically modified.;àleo de canola;m;0;1
1515;~X~031515;9;Other Pure Vegetable Oils;other fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified.;Outros ¢leos vegetais puros;m;1;1
1516;~X~031516;9;Other Vegetable Oils;animal or vegetable fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared.;Outros ¢leos vegetais;m;1;1
1517;~X~031517;9;Margarine;"margarine; edible mixtures or preparations of animal or vegetable fats or oils or of fractions of different fats or oils of this chapter, other than edible fats or oils or their fractions of heading 15.16.";Margarina;f;0;1
1518;~X~031518;9;Inedible Fats and Oils;"animal or vegetable fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, blown, polymerised by heat in vacuum or in inert gas or otherwise chemically modified, excluding those of heading 15.16; inedible mixtures or preparations of";àleos e gorduras nÆo comest¡veis;f;1;1
1519;~X~031519;9;Stearic Acid;Stearic acid;µcido este rico;m;0;1
1520;~X~031520;9;Glycerol;"glycerol, crude; glycerol waters and glycerol lyes.";Glicerina;f;0;1
1521;~X~031521;9;Vegetable waxes;vegetable waxes (other than triglycerides), beeswax, other insect waxes and spermaceti, whether or not refined or coloured.;Ceras vegetais;f;1;1
1522;~X~031522;9;Fat and Oil Residues;"degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes.";Res¡duos de àleo e Gordura;f;1;1
16;~X~04;5;Foodstuffs;"Prepared Foodstuffs; Beverages, Spirits And Vinegar; Tobacco And Manufactured Tobacco Substitutes";Gˆneros aliment¡cios;m;1;1
1601;~X~0416;7;Prepared Meats;preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates;Carnes processadas;f;1;1
1601;~X~041601;9;Sausages;"sausages and similar products, of meat, meat offal or blood; food preparations based on these products.";Lingui‡as;f;1;1
1602;~X~041602;9;Other Prepared Meat;other prepared or preserved meat, meat offal or blood.;Outras carnes preparadas;f;1;1
1603;~X~041603;9;Animal Extracts;extracts and juices of meat, fish or crustaceans, molluscs or other aquatic invertebrates.;Extratos animais;m;1;1
1604;~X~041604;9;Processed Fish;"prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs.";Peixe processado;m;0;1
1605;~X~041605;9;Prepared Seafood;crustaceans, molluscs and other aquatic invertebrates, prepared or preserved.;Frutos do mar processados;m;1;1
1701;~X~0417;7;Sugar;sugars and sugar confectionery;A‡£car;m;0;1
1701;~X~041701;9;Raw Sugar;cane or beet sugar and chemically pure sucrose, in solid form.;A‡£car in natura;m;0;1
1702;~X~041702;9;Other Sugars;"other sugars, including chemically pure lactose, maltose, glucose and fructose, in solid form; sugar syrups not containing added flavouring or colouring matter; artificial honey, whether or not mixed with natural honey; caramel.";Outros a‡£cares;m;1;1
1703;~X~041703;9;Molasses;molasses resulting from the extraction or refining of sugar.;Mela‡o;m;0;1
1704;~X~041704;9;Confectionery Sugar;sugar confectionery (including white chocolate), not containing cocoa.;A‡£car de confeitaria;m;0;1
1801;~X~0418;7;Cocoa;cocoa and cocoa preparations;Cacau;m;0;1
1801;~X~041801;9;Cocoa Beans;cocoa beans, whole or broken, raw or roasted.;Cacau em grÆos;m;0;1
1802;~X~041802;9;Cocoa Shells;cocoa shells, husks, skins and other cocoa waste.;Cascas de cacau;f;1;1
1803;~X~041803;9;Cocoa Paste;cocoa paste, whether or not defatted.;Pasta de cacau;f;0;1
1804;~X~041804;9;Cocoa Butter;cocoa butter, fat and oil.;Manteiga de cacau;f;0;1
1805;~X~041805;9;Cocoa Powder;cocoa powder, not containing added sugar or other sweetening matter.;Cacau em p¢;m;0;1
1806;~X~041806;9;Chocolate;chocolate and other food preparations containing cocoa.;Chocolate;m;0;1
1901;~X~0419;7;Grain Preparations;"preparations of cereals, flour, starch or milk; pastrycooks' products";GrÆos preparados;m;1;1
1901;~X~041901;9;Malt Extract;"malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing cocoa or containing less than 40 % by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included; food preparations of goods of";Extrato de malte;m;0;1
1902;~X~041902;9;Pasta;"pasta, whether or not cooked or stuffed (with meat or other substances) or otherwise prepared, such as spaghetti, macaroni, noodles, lasagne, gnocchi, ravioli, cannelloni; couscous, whether or not prepared.";Massas;f;1;1
1903;~X~041903;9;Tapioca;tapioca and substitutes therefor prepared from starch, in the form of flakes, grains, pearls, siftings or in similar forms.;Tapioca;f;0;1
1904;~X~041904;9;Prepared Cereals;"prepared foods obtained by the swelling or roasting of cereals or cereal products (for example, corn flakes); cereals (other than maize (corn)) in grain form or in the form of flakes or other worked grains (except flour, groats and meal), pre-cooked, or o";Cereais preparados;m;1;1
1905;~X~041905;9;Baked Goods;"bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.";Produtos de panifica‡Æo;m;1;1
2001;~X~0420;7;Other Vegetables Preparations;preparations of vegetables, fruit, nuts or other parts of plants;Outros vegetais preparados;f;1;1
2001;~X~042001;9;Pickled Foods;vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar or acetic acid.;Alimentos em conserva;m;1;1
2002;~X~042002;9;Processed Tomatoes;tomatoes prepared or preserved otherwise than by vinegar or acetic acid.;Tomates processados;m;1;1
2003;~X~042003;9;Processed Mushrooms;mushrooms and truffles, prepared or preserved otherwise than by vinegar or acetic acid.;Cogumelos processados;m;1;1
2004;~X~042004;9;Other Frozen Vegetables;other vegetables prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading 20.06.;Outros vegetais congelados;m;1;1
2005;~X~042005;9;Other Processed Vegetables;other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading 20.06.;Outros vegetais processados;m;1;1
2006;~X~042006;9;Sugar Preserved Foods;vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by sugar (drained, glac¶Ž or crystallised).;Alimentos preservados em a‡£car;m;1;1
2007;~X~042007;9;Jams;jams, fruit jellies, marmalades, fruit or nut pur¶Že and fruit or nut pastes, obtained by cooking, whether or not containing added sugar or other sweetening matter.;Geleias;f;1;1
2008;~X~042008;9;Other Processed Fruits and Nuts;fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included.;Outras frutas processadas;f;1;1
2009;~X~042009;9;Fruit Juice;fruit juices (including grape must) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter.;Sucos de frutas;m;1;1
2101;~X~0421;7;Other Edible Preparations;miscellaneous edible preparations;Outros preparos comest¡veis;m;1;1
2101;~X~042101;9;Coffee and Tea Extracts;"extracts, essences and concentrates, of coffee, tea or mat¶Ž and preparations with a basis of these products or with a basis of coffee, tea or mat¶Ž; roasted chicory and other roasted coffee substitutes, and extracts, essences and concentrates thereof.";Extratos de caf‚ e ch ;m;1;1
2102;~X~042102;9;Yeast;"yeasts (active or inactive); other single-cell micro-organisms, dead (but not including vaccines of heading 30.02); prepared baking powders.";Fermento;m;0;1
2103;~X~042103;9;Sauces and Seasonings;"sauces and preparations therefor; mixed condiments and mixed seasonings; mustard flour and meal and prepared mustard.";Molhos e temperos;m;1;1
