"HS96","HS96part","HS02","HS02part","Comment"
"0709.60",0,"0709.60",0,
"0709.70",0,"0709.70",0,
"0709.90",0,"0709.90",0,
"0710.10",0,"0710.10",0,
"0710.21",0,"0710.21",0,
"0710.22",0,"0710.22",0,
"0710.29",0,"0710.29",0,
"0710.30",0,"0710.30",0,
"0710.40",0,"0710.40",0,
"0710.80",0,"0710.80",0,
"0710.90",0,"0710.90",0,
"0711.10",0,"0711.90",1,
"0711.20",0,"0711.20",0,
"0711.30",0,"0711.30",0,
"0711.40",0,"0711.40",0,
"0711.90",1,"0711.51",0,
"0711.90",1,"0711.59",0,
"0711.90",1,"0711.90",1,
"0712.20",0,"0712.20",0,
"0712.30",1,"0712.31",0,
"0712.30",1,"0712.32",0,
"0712.30",1,"0712.33",0,
"0712.30",1,"0712.39",0,
"0712.90",0,"0712.90",0,
"0713.10",0,"0713.10",0,
"0713.20",0,"0713.20",0,
"0713.31",0,"0713.31",0,
"0713.32",0,"0713.32",0,
"0713.33",0,"0713.33",0,
"0713.39",0,"0713.39",0,
"0713.40",0,"0713.40",0,
"0713.50",0,"0713.50",0,
"0713.90",0,"0713.90",0,
"0714.10",0,"0714.10",0,
"0714.20",0,"0714.20",0,
"0714.90",0,"0714.90",0,
"0801.11",0,"0801.11",0,
"0801.19",0,"0801.19",0,
"0801.21",0,"0801.21",0,
"0801.22",0,"0801.22",0,
"0801.31",0,"0801.31",0,
"0801.32",0,"0801.32",0,
"0802.11",0,"0802.11",0,
"0802.12",0,"0802.12",0,
"0802.21",0,"0802.21",0,
"0802.22",0,"0802.22",0,
"0802.31",0,"0802.31",0,
"0802.32",0,"0802.32",0,
"0802.40",0,"0802.40",0,
"0802.50",0,"0802.50",0,
"0802.90",0,"0802.90",0,
"0803.00",0,"0803.00",0,
"0804.10",0,"0804.10",0,
"0804.20",0,"0804.20",0,
"0804.30",0,"0804.30",0,
"0804.40",0,"0804.40",0,
"0804.50",0,"0804.50",0,
"0805.10",0,"0805.10",0,
"0805.20",0,"0805.20",0,
"0805.30",0,"0805.50",1,
"0805.40",0,"0805.40",0,
"0805.90",1,"0805.50",1,
"0805.90",1,"0805.90",0,
"0806.10",0,"0806.10",0,
"0806.20",0,"0806.20",0,
"0807.11",0,"0807.11",0,
"0807.19",0,"0807.19",0,
"0807.20",0,"0807.20",0,
"0808.10",0,"0808.10",0,
"0808.20",0,"0808.20",0,
"0809.10",0,"0809.10",0,
"0809.20",0,"0809.20",0,
"0809.30",0,"0809.30",0,
"0809.40",0,"0809.40",0,
"0810.10",0,"0810.10",0,
"0810.20",0,"0810.20",0,
"0810.30",0,"0810.30",0,
"0810.40",0,"0810.40",0,
"0810.50",0,"0810.50",0,
"0810.90",1,"0810.60",0,
"0810.90",1,"0810.90",0,
"0811.10",0,"0811.10",0,
"0811.20",0,"0811.20",0,
"0811.90",0,"0811.90",0,
"0812.10",0,"0812.10",0,
"0812.20",0,"0812.90",1,
"0812.90",0,"0812.90",1,
"0813.10",0,"0813.10",0,
"0813.20",0,"0813.20",0,
"0813.30",0,"0813.30",0,
"0813.40",0,"0813.40",0,
"0813.50",0,"0813.50",0,
"0814.00",0,"0814.00",0,
"0901.11",0,"0901.11",0,
"0901.12",0,"0901.12",0,
"0901.21",0,"0901.21",0,
"0901.22",0,"0901.22",0,
"0901.90",0,"0901.90",0,
"0902.10",0,"0902.10",0,
"0902.20",0,"0902.20",0,
"0902.30",0,"0902.30",0,
"0902.40",0,"0902.40",0,
"0903.00",0,"0903.00",0,
"0904.11",0,"0904.11",0,
"0904.12",0,"0904.12",0,
"0904.20",0,"0904.20",0,
"0905.00",0,"0905.00",0,
"0906.10",0,"0906.10",0,
